,AteneoCOD,Perc_immfs_10_11,Perc_immfs_11_12,Perc_immfs_12_13,Perc_immfs_13_14,Perc_immfs_14_15,Perc_immfs_15_16,Perc_immfs_16_17,Perc_immfs_17_18,Perc_immfs_18_19,Perc_immfs_19_20,Perc_immfs_20_21
0,101,6.7,7.1,6.8,6.6,6.3,7.2,6.6,7.9,6.2,6.8,5.8
1,102,13.8,17.2,13.0,14.3,12.5,11.1,11.8,11.4,11.0,12.2,14.0
2,201,6.5,5.7,8.4,6.8,6.7,6.0,5.7,6.7,6.9,6.5,8.9
3,401,44.8,40.0,37.1,33.3,46.2,34.3,38.7,47.4,39.0,33.3,27.8
4,701,10.8,9.9,5.2,8.7,7.8,4.1,7.2,6.5,10.9,9.3,8.2
5,1001,8.6,8.2,8.9,9.0,8.7,9.3,8.1,9.5,9.5,10.4,8.8
6,1201,1.9,0.7,2.7,2.9,2.5,1.4,2.6,2.3,2.3,3.3,2.0
7,1202,6.5,5.9,7.7,6.5,5.8,5.6,5.5,5.2,5.8,6.1,4.9
8,1301,4.6,8.1,10.0,6.4,7.9,8.1,7.4,6.1,5.1,6.2,6.5
9,1501,4.6,4.9,6.7,6.8,6.7,6.9,6.0,5.6,6.4,6.8,6.1
10,1502,6.6,5.9,5.6,4.7,5.5,5.7,4.7,5.4,4.7,5.0,5.7
11,1503,11.7,10.2,11.8,10.4,8.9,12.3,17.4,14.7,18.9,19.8,20.5
12,1504,5.7,5.6,5.7,6.6,5.7,5.8,7.2,6.8,6.9,6.5,6.9
13,1505,5.2,4.1,6.3,5.5,5.1,4.1,4.0,3.9,4.7,5.1,4.7
14,1508,3.1,5.9,7.3,7.2,7.4,5.9,4.5,7.6,8.0,7.5,12.6
15,1509,5.6,5.4,6.4,6.8,6.4,6.3,5.9,5.9,5.1,4.9,5.2
16,1510,,,,,25.0,51.0,46.7,37.6,39.3,36.0,31.4
17,1601,6.6,5.5,5.7,6.3,6.6,5.4,5.8,6.5,6.5,6.0,5.2
18,1701,7.2,7.5,7.6,8.5,7.0,6.5,6.9,7.5,7.2,7.0,6.2
19,1801,5.8,6.1,7.9,6.7,7.7,8.0,7.1,7.8,8.8,9.7,9.2
20,2101,19.5,23.5,12.1,12.0,14.9,11.7,11.8,11.4,8.9,9.2,11.3
21,2201,5.6,5.6,4.7,4.0,3.4,2.5,2.4,2.2,2.6,2.6,3.7
22,2301,5.9,6.1,6.4,5.0,6.0,5.3,4.6,5.1,4.4,4.0,4.6
23,2701,5.4,4.8,5.4,5.2,5.5,5.3,5.4,5.8,6.2,6.0,6.5
24,2702,5.4,4.1,5.9,5.5,4.2,4.9,6.3,7.3,8.8,7.0,5.9
25,2801,4.2,3.8,4.6,4.2,4.3,4.2,4.3,4.1,4.0,4.4,4.2
26,3001,7.4,6.8,8.4,8.3,5.9,6.7,6.3,5.6,5.2,5.1,4.0
27,3201,8.5,8.4,8.7,7.8,8.0,7.8,7.9,8.4,5.6,4.9,5.4
28,3401,6.9,7.4,7.2,8.9,6.8,7.5,6.9,8.1,6.5,6.7,6.8
29,3601,6.1,7.7,7.3,7.3,6.6,7.3,5.9,6.2,5.6,5.0,4.7
30,3701,7.0,7.2,6.8,6.6,6.4,5.9,7.6,9.2,9.3,9.4,9.7
31,3801,4.4,5.2,6.1,5.8,6.0,6.2,6.5,5.3,3.9,3.9,4.1
32,4101,8.0,6.3,6.4,6.5,6.3,5.9,5.9,5.7,5.3,4.5,5.7
33,4201,5.3,3.3,5.0,4.5,4.3,3.8,4.3,4.3,3.9,4.3,4.1
34,4301,5.1,6.1,5.5,4.7,5.5,4.3,3.3,3.6,5.0,4.4,3.5
35,4302,6.7,7.9,7.7,9.8,8.1,8.7,8.5,11.0,7.9,9.2,6.9
36,4801,6.9,7.4,8.1,8.2,7.8,7.5,7.4,7.6,8.0,7.2,6.5
37,4804,,,,,,25.0,2.8,4.2,2.9,,3.1
38,5001,3.5,3.8,4.0,4.4,4.0,4.1,4.9,4.9,4.7,4.6,4.4
39,5201,5.1,4.1,4.7,5.8,6.2,7.2,9.6,9.6,7.6,6.7,8.7
40,5202,20.3,17.1,20.3,19.5,14.8,12.7,10.7,14.2,10.4,11.3,11.1
41,5401,5.3,5.7,5.0,5.3,6.0,6.3,5.0,6.4,6.9,7.2,5.4
42,5403,50.9,34.4,39.8,38.3,40.7,42.1,44.8,32.8,40.3,44.9,40.1
43,5601,1.9,2.2,2.8,2.6,3.0,3.4,2.6,3.5,3.7,2.6,4.5
44,5801,5.4,5.7,6.0,5.6,5.5,5.6,6.0,6.3,6.5,6.3,6.7
45,5802,6.1,5.5,5.2,4.9,6.3,7.1,8.0,9.1,8.7,9.0,8.3
46,5803,5.9,4.7,6.4,5.4,7.1,6.5,5.5,4.0,3.9,3.5,4.2
47,5805,1.7,1.5,1.8,1.1,1.3,1.5,1.3,1.0,3.1,4.0,4.7
48,5806,1.5,0.3,0.9,0.9,1.9,1.1,2.3,1.5,0.9,0.8,1.8
49,5807,4.1,4.9,5.6,5.5,5.7,5.6,5.9,5.8,5.5,6.1,6.9
50,5808,1.8,0.8,0.3,0.3,1.1,0.6,1.1,0.6,1.2,1.2,2.5
51,5809,2.7,,1.4,1.1,5.6,4.7,4.0,3.8,5.0,4.8,3.1
52,5810,1.1,1.9,2.4,2.6,3.5,2.6,4.2,3.9,4.8,5.4,6.0
53,5811,0.5,0.5,2.0,2.9,1.9,3.8,4.7,3.4,7.5,3.5,5.9
54,5812,,0.6,2.7,1.4,3.3,2.7,4.0,2.9,4.0,3.9,3.1
55,5813,1.0,3.5,12.6,14.0,8.7,4.5,6.9,8.3,13.9,16.9,6.8
56,5814,,3.0,8.7,2.3,6.9,,3.3,,,,
57,5815,0.6,2.1,2.3,3.0,2.4,2.5,1.9,2.0,2.4,4.9,5.5
58,5816,5.2,0.8,3.8,3.4,1.6,2.6,2.6,1.5,1.8,1.5,2.8
59,5817,,,,1.3,3.8,1.6,1.2,3.3,8.6,13.6,12.0
60,5818,,,,,,,,,62.4,48.1,40.2
61,6001,1.8,1.2,1.9,2.5,3.1,2.3,2.1,4.9,7.2,14.0,15.7
62,6201,0.8,0.7,1.0,0.5,0.5,0.3,1.0,1.5,1.2,1.1,0.7
63,6202,,,,,,,,,1.1,3.9,1.5
64,6301,0.6,0.5,0.6,0.5,0.6,0.7,0.9,0.7,0.9,0.9,1.0
65,6302,0.7,0.7,0.8,0.8,0.6,1.0,0.9,0.9,0.9,1.7,1.4
66,6303,4.2,3.5,4.4,4.4,3.6,4.3,4.3,5.2,4.1,4.2,3.6
67,6304,0.4,0.9,0.5,1.0,1.0,1.1,1.3,0.7,0.3,0.8,0.7
68,6306,0.3,0.2,0.5,1.0,1.5,1.2,1.4,2.4,2.9,2.8,2.9
69,6307,0.1,,0.2,0.1,0.3,0.5,0.4,0.3,2.9,0.5,2.6
70,6501,0.6,0.6,1.1,1.1,1.1,1.0,0.9,1.1,1.3,1.4,1.1
71,6601,2.9,2.5,2.3,2.2,2.8,1.8,3.0,2.9,2.7,3.1,2.2
72,6701,2.6,3.2,2.5,1.9,2.7,1.9,1.9,1.5,2.9,1.9,2.4
73,6901,2.2,1.8,1.8,2.5,2.6,3.1,2.3,3.0,2.6,3.3,3.0
74,6902,,3.0,3.8,,,,,,,,
75,7001,1.0,0.8,1.4,1.4,1.1,1.7,1.0,2.0,2.9,1.0,1.3
76,7101,1.5,1.5,1.4,1.1,0.8,1.7,1.0,1.4,1.8,1.5,1.2
77,7201,1.5,1.6,1.5,1.8,1.8,1.4,1.9,2.1,1.7,1.8,1.9
78,7202,0.6,0.9,1.0,1.3,1.2,0.9,1.1,1.4,1.0,1.4,1.0
79,7203,,0.7,0.7,2.9,0.7,,,0.4,,0.8,
80,7501,0.8,0.9,0.8,1.3,1.1,1.0,1.3,1.3,0.9,1.3,1.6
81,7601,0.4,0.7,0.2,0.5,1.2,1.0,1.0,1.2,0.9,1.3,1.5
82,7801,1.2,1.1,1.5,1.2,1.9,1.7,2.7,4.0,3.4,4.0,4.6
83,7901,1.7,1.4,0.8,0.8,0.6,1.1,1.4,2.6,2.1,2.6,2.1
84,8001,0.9,0.9,0.8,1.4,1.5,1.2,1.9,2.0,3.5,6.1,3.4
85,8003,12.9,12.7,9.0,7.1,17.2,11.1,48.9,31.1,24.5,52.4,28.2
86,8201,1.0,0.8,0.6,0.7,0.6,0.9,0.9,1.1,1.2,1.4,1.2
87,8301,1.5,1.2,1.3,1.2,1.4,1.0,1.3,2.0,2.6,2.5,7.0
88,8601,0.2,0.5,1.0,0.8,0.2,0.8,0.7,0.9,0.3,0.9,0.7
89,8701,0.6,0.5,0.7,0.4,0.5,0.7,0.8,0.7,0.7,1.3,1.8
90,9001,2.1,1.7,1.4,2.1,1.4,1.8,2.0,2.0,2.6,2.2,2.4
91,9201,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.5,1.3,1.7
